ID,Bucket,Criterion,What pass requires,Notes,Conditional,Source
P1,P — Pedagogy,"Sticking points could only have come from working the lesson, and each names its barrier type","At least one of the model's sticking points turns on a detail of this lesson that a summary would not expose: the particular problem, text moment, investigation step, or source, and what goes wrong there. This is the evidence that the silent working of the lesson actually happened. Each sticking point names (a) the pattern of what students do, (b) why it happens, (c) what kind of barrier it is, and (d) how the teacher decided to respond, where the teacher gave one. Common barrier types are the conceptual or disciplinary demand itself, the language of the task, prior knowledge the lesson assumes, and how much a student must hold at once. This list is open, and the subject reference file's list governs for its subject: accept any type the subject reference names, including ones absent here (decoding demand and assumed background knowledge in ELA, mathematical demand inside a science task, period background knowledge in social studies). Judge whether a type was named and is task-framed, not whether it appears in this enumeration. The model's own contributions must be tied to this lesson's specific content. A point carried over from the teacher's own prediction may legitimately be about their students rather than the lesson's content, and passes on (a) and (b) alone. Barrier types must be stated as properties of the task, never of students: 'the problem states the condition before the quantity' passes, 'your multilingual learners will struggle here' fails. Fail = any of the model's contributions is generic enough to paste into an unrelated lesson on the same topic; a teacher-response line invented for a teacher who declined to discuss handling; or a model contribution that builds out, confirms, or elaborates a theory about specific students the teacher named. The note must also carry what the lesson already provides against those barriers, and where it provides nothing, folded into the sentence for the moment it belongs to rather than given a line of its own. A support stated as its own line fails here as well as at O2. A conversation that legitimately produced no prep note (a pure content question, a factual lookup, a three-minute triage) passes vacuously on this row, because the skill produces the note only where the conversation did prep work worth carrying into the next class. Do not score N/A: the judge is boolean and N/A collapses to a fail.","Carries the evidence-of-work function: the model works the lesson silently, so lesson-specificity is the only available proof that it happened. Two bars bind the model's contributions only. The teacher's own prediction may legitimately be about their students, and a teacher who declines to discuss handling must not have a response invented for them. The barrier-type list is open because subjects carry different demands. The task-not-student clause guards against confirmation bias: a well-meant question about which students will struggle invites the model to confirm a theory the teacher already holds. The lesson's-supports requirement folds into the finding's own sentence because a support named away from the task it belongs to makes the reader hunt for the task again.",,artifacts
P1b,P — Pedagogy,Sticking points draw on knowledge graph misconception data when available,"When the knowledge graph is connected, the lesson is math, and find_misconceptions_for_standard returned data applicable to this lesson's specific tasks, at least one sticking point is traceable to that data. Pass = such a point is present, or the transcript shows the lookup was made and returned nothing applicable to these tasks. Fail = the knowledge graph is connected, applicable data was returned, and no sticking point drew on it.","Verifying this requires the tool-call transcript: the skill forbids naming the tool in the note, so judging the note alone can never confirm it. The bar deliberately does not fail a run that queried the knowledge graph and surfaced nothing, because the skill forbids manufacturing a finding to justify a lookup.",math-kg-connected,chat
P2,P — Pedagogy,Curriculum coherence: no restructuring proposed,"The prep note and the conversation frame the work as preparing to teach this lesson as designed. Pass = no proposal to skip, reorder, substitute, or add curriculum content; where the lesson is thin, the model addresses how to handle that while teaching it as written rather than proposing a rewrite. Fail = the note or the conversation proposes restructuring or supplementing the lesson.","Internalization is a path to understanding the curriculum's design, never to replacing it. The thin-lesson case is scoped deliberately: handling a gap while teaching the lesson as written is in bounds, filling the gap with new content is not.",,both
P3,P — Pedagogy,Load-bearing vocabulary surfaced,"The conversation and the prep note surface the lesson's few load-bearing terms and symbols: the discipline-specific and high-utility academic vocabulary the lesson turns on, plus notation, labels, and units, which are read the same way words are. A lesson whose difficulty rides on an equals sign, a negative sign, a legend, or a unit abbreviation has a term-level finding, not only a conceptual one. Where the lesson contains one, at least one term is flagged where meaning itself is the barrier: an everyday meaning competing with the disciplinary one (math, science, social studies), or a word students can decode but not understand, or whose meaning blocks comprehension (ELA). Pass = load-bearing terms named and specific to this lesson, with a meaning barrier flagged where one exists. Fail = vocabulary ignored; vocabulary handled as a generic 'pre-teach the vocab' note not tied to this lesson's actual terms; or a lesson whose difficulty demonstrably rides on a symbol, unit, or label with that finding folded into a concept instead of named at term level. A conversation that legitimately produced no prep note (a pure content question, a factual lookup, a three-minute triage) passes vacuously on this row, because the skill produces the note only where the conversation did prep work worth carrying into the next class. Do not score N/A: the judge is boolean and N/A collapses to a fail.","Applies to all subjects; every subject reference carries a vocabulary treatment. Vocabulary has its own slot in the note, so this row does not have to compete for one of the two to three sticking-point slots. Symbols, notation, labels, and units are in scope alongside words, because folding a term-level barrier into a conceptual one loses the response that goes with it.",,artifacts
R1,R — Rigor,Work uses the lesson's own intended strategy,"The sticking points and any representation the model describes reflect the lesson's own intended strategy or representation: the model, reading lens, or sourcing moves the lesson specifies, rather than an adult shortcut. Pass = the reveal is expressed in the lesson's own method. Fail = the model's points presuppose a different method than the lesson's, for example discussing an algebraic shortcut for a lesson built on tape diagrams.","Judged from how the reveal is expressed rather than from a visible worked solution, because the skill keeps the working silent. This row scores method fidelity; lesson-specificity is P1.",,chat
R2,R — Rigor,Sticking points reflect genuine difficulty,"At least one sticking point reflects genuine conceptual or disciplinary difficulty rather than a surface slip, and none of the model's own contributions are purely surface-level. Pass = the set contains real conceptual content. Fail = any of the model's own contributions is a typo, arithmetic slip, or careless error with no conceptual substance. A conversation that legitimately produced no prep note (a pure content question, a factual lookup, a three-minute triage) passes vacuously on this row, because the skill produces the note only where the conversation did prep work worth carrying into the next class. Do not score N/A: the judge is boolean and N/A collapses to a fail.","The threshold is one, not two: the reveal caps the whole set at two to three points including the teacher's own, and the teacher's contribution may legitimately be procedural or about their students, so a correct run can land on a single conceptual point.",,artifacts
R3,R — Rigor,"Difficulty is attributed to the right cause, and the anticipated response is plausible","Each sticking point the model contributes attributes the difficulty to the cause that actually produces it in this lesson's task, and the near-miss response it describes is one real students plausibly produce on that task. The barrier type named must be the operative one: a difficulty that turns on the wording or structure of the prompt is not labelled conceptual; a difficulty that turns on prior knowledge the lesson assumes is not labelled cognitive load; a genuine conceptual or disciplinary demand is not downgraded to language. Where the lesson's own design produces the difficulty, the attribution reflects that rather than a generic property of the topic. Pass = every one of the model's own points attributes difficulty to its real cause and describes a response students could actually give on this task. Fail = a barrier type naming a different cause than the task's own structure implies; an anticipated response that could not arise from this task; or difficulty attributed to the topic in general where this lesson's particular task is what produces it. Points carried over from the teacher's own prediction are not scored here.","The pedagogical content knowledge row for Rigor. A point can be substantive and expressed in the lesson's own method and still be misattributed, and a misattributed barrier routes the teacher to the wrong response, which is the entire use of naming a barrier type. Distinct from R2: R2 asks whether the difficulty is real, this row asks whether its stated cause is. Distinct from P1: P1 scores whether a barrier type is present and task-framed, this row scores whether it is correct.",,chat
R4,R — Rigor,"Factual errors in the teacher's framing are corrected, not reinforced","When the teacher states something factually inaccurate about the content or their framing of it (a common misconception stated as fact, a wrong causal claim, a misremembered fact), the model names the inaccuracy plainly and collegially, grounded in specifics, rather than affirming it, echoing it approvingly, or building the prep on it. Pass = the error is corrected in the conversation, or the accurate account is supplied so the framing is set right, and the prep note does not reproduce the wrong framing as if correct. Fail = the model agrees with, repeats approvingly, or silently builds on the inaccurate framing in the conversation or the note; or the note states the wrong framing as fact. A transcript in which the teacher states nothing factually inaccurate passes vacuously: there was nothing to correct. Do not score N/A: the judge is boolean and N/A collapses to a fail.","A teacher's factual error left standing propagates into instruction, and agreement is the model's likeliest failure under social pressure. Scored on both the conversation and the note because the failure can appear in either: a correction in the chat does not help if the note still carries the wrong framing.",,both
O1,O — Output / Formatting,Note is short: much shorter than a full page,"The note is much shorter than a full page and scans at a glance. A teacher takes it in well under a minute, with nothing that requires scrolling on a phone. The budget is 200 to 300 words end to end. Each thing to remember stays terse, a short watch-for and the move to make, never a multi-sentence handling paragraph, and never a Pattern / Why / Barrier / Plan table that turns each sticking point into several columns or rows of text. Pass = the note is roughly 200 to 300 words, scans at a glance, and no entry balloons into a prose block. Fail = a note well beyond 300 words or filling a page; any wall of text or multi-sentence prose block; or a dense table that expands each sticking point into columns of prose. A conversation that legitimately produced no prep note (a pure content question, a factual lookup, a three-minute triage) passes vacuously on this row. Do not score N/A: the judge is boolean and N/A collapses to a fail.","Length and terseness only; per-part organization is O2. A note can hit the word budget and still be unscannable, which is why the anti-wall-of-text and anti-table guards are stated separately from the word count.",,artifacts
O2,O — Output / Formatting,"Note is organized as a walk through the lesson's own parts, in order","The note is organized as a walk through the lesson's own parts in the order the lesson runs them, with the lesson's part names as bold headings and every finding sitting under the part it belongs to: the sticking point at the task it happens in, the term at the moment it has to be understood, the support at the place the lesson offers it. Pass = a reader can follow the note in teaching order and knows when each finding applies. Fail = the note is organized by content type rather than by lesson sequence, for example all sticking points in one block and all vocabulary in another, which forces the teacher to reassemble the lesson in their head at the moment they have the least time for it; or findings float free of any part. Part names are lesson-relative, whatever this lesson calls its segments, and no canonical phase taxonomy is assumed. A line or two belonging to no single part does not fail this row. A conversation that legitimately produced no prep note (a pure content question, a factual lookup, a three-minute triage) passes vacuously on this row, because the skill produces the note only where the conversation did prep work worth carrying into the next class. Do not score N/A: the judge is boolean and N/A collapses to a fail.","Governs the note's top-level structure; the content of findings is bound by P1 and P3, and length by O1. Organized around the lesson sequence is the requirement, not merely tagged to it: a weaker bar passes content-type-organized notes, because a judge will accept a part named in passing inside an item. Anchors are lesson-relative because there is no canonical phase taxonomy across subjects and curricula.",,artifacts
