ID,Bucket,Criterion,What pass requires,Notes,Conditional,Source
P1,P — Pedagogy,Standard correctly identified and scoped,"The CCSS (or state framework) code, grade, and standard language in the teacher guide are correct, and the language is the verbatim standard statement rather than a paraphrase. Every item addresses that standard — not a different standard, and not a substantially narrower or broader scope.",,,artifacts
P2,P — Pedagogy,Rigor correctly identified,The rigor label in the teacher guide's meta block (conceptual / procedural / application / mixed) matches the aspect of rigor the standard primarily calls for.,,,artifacts
P3,P — Pedagogy,No over-decomposition,"The check does not have one item per learning component. Items are not a checklist of sub-skills. The set functions as a coherent read of one focus, not a component inventory.",,,artifacts
P4,P — Pedagogy,Language demands don't interfere,Item language does not introduce reading comprehension demands unrelated to the mathematical concept being assessed.,,,artifacts
P5,P — Pedagogy,Learning goal is specific,"The stated learning goal is narrow enough to drive item design — it names the specific understanding these items are built to surface, not just 'student understands [standard]'.",Grades narrowness only. Register and sentence structure belong to P14.,,artifacts
P6,P — Pedagogy,Grade-appropriate number values,Items use numbers within the range expected for the target standard and grade level.,,,artifacts
P7,P — Pedagogy,Coherence map grounds prior-grade vs. on-grade routing,"The interpretation guide's routing (prior-grade reteach vs. on-grade reteach) is traceable to the progression and coherence context the teacher guide states — not merely asserted, and not defaulted to a generic label.","Grades whether the progression and coherence data is used in the routing, not whether it was retrieved — retrieval is scored separately by the tools_called scorer.",,artifacts
P8,P — Pedagogy,Focus constraints verifiable in item design,"Where the confirmed learning component carries specific constraints — number ranges, denominator sets, operation types, representational forms — item design verifiably respects them. If it carries no specific numeric or representational constraints, score on whether its conceptual scope is traceable in the learning goal and item framing.",,,artifacts
P9,P — Pedagogy,Prerequisite vs. on-grade errors distinguished,The interpretation guide distinguishes errors reflecting a prerequisite gap from errors reflecting an on-grade confusion. At least one distractor row is explicitly labeled as one or the other — a vague label ('prior knowledge gap') does not pass.,,,artifacts
P10,P — Pedagogy,Prerequisite errors routed to a named prior standard,"At least one prerequisite-gap response is routed to a specific named prior standard code (e.g. '4.NF.A.1') rather than to vague prior-grade guidance ('review earlier fraction work'). N/A — passes vacuously — if the check contains no prerequisite-gap response at all, which is itself a fail under P9.",,,artifacts
P11,P — Pedagogy,Next-step guidance names a specific instructional move,"At least one suggested next step names a specific sub-skill, representation, or task type rather than 'reteach this standard' or 'review this concept'.",,,artifacts
P12,P — Pedagogy,Asset-based language; no deficit framing,"No item stem, interpretation-guide entry, next-step note, or chat message uses deficit language describing the student as a fixed trait or flaw (e.g. 'struggling', 'weak', 'fragile', 'can't', 'behind', 'deficient', 'low'). Descriptions of student thinking are behaviorally specific rather than judgmental.",Scored on the chat as well as the files: a deficit-framed chat message fails this row.,,both
R1,R — Rigor,Item format appropriate for rigor type,"Procedural: constructed response is primary, at most one multiple-choice item. Conceptual: the multiple choice / multiple select / constructed response reveals understanding rather than computation. Application: constructed response is used, and the student's approach and reasoning are visible.",,,artifacts
R2,R — Rigor,Visual representation for conceptual K-8,"At least one item includes or describes a diagram, number line, area model, tape diagram, or other visual representation.",,conceptual-K-8,artifacts
R3,R — Rigor,Student work shown for procedural,"At least one item shows work the way a student would: a partially worked problem, a worked example containing an error to find, or an explicit show-your-work prompt.",,procedural,artifacts
R4,R — Rigor,Most revealing case targeted,"At least one item is designed so a student could arrive at the correct answer via a faulty method, OR so a plausible partial understanding is exposed even on a 'correct' response.",,,artifacts
R5,R — Rigor,"Every item reveals thinking, not just correctness","Every item is designed so the response reveals something about how the student is thinking. For multiple choice: each distractor maps to a specific named error. For constructed response: the prompt explicitly requires explanation, justification, or showing work.",,,artifacts
R6,R — Rigor,Mathematical accuracy — single correct answer,"The stated correct answer is correct against the actual mathematics, and every distractor is unambiguously wrong. Fail if any distractor is defensible as a second correct answer under a reasonable alternate reading, rounding, or unit interpretation. Passes vacuously if the check is entirely constructed-response, since there are no distractors to verify.","Applies to multiple-choice items only. Not gated by a Conditional tag, because whether a check contains multiple-choice items is the model's format choice rather than a property of the prompt; the vacuous pass is in the pass criteria instead.",,artifacts
O1,O — Output / Formatting,"Standard in meta, verbatim",The teacher guide's meta block includes the CCSS (or state) code and the verbatim standard language.,,,artifacts
O2,O — Output / Formatting,Learning goal and rigor labeled in meta,The teacher guide's meta block includes both a learning goal and a rigor label (conceptual / procedural / application / mixed).,Grades presence of the two fields. Length and register belong to P14.,,artifacts
O3,O — Output / Formatting,Interpretation guide present for each item,"Every item in the teacher guide has an interpretation guide table with at minimum three columns: response, what it suggests, and suggested next step.",,,artifacts
