ID,Bucket,Criterion,What pass requires,Notes,Conditional
P1,P — Pedagogy,Standard named verbatim,"The target standard appears as the full standard text in the lesson plan header — a complete standard statement, not a bare code, an abbreviation, or a paraphrase. Wherever the standard is restated in any artifact, the wording matches the header word-for-word. Pass = full text in header and consistent verbatim usage throughout. Fail = code-only citation, paraphrase, or wording that drifts between header and body.",,
P2,P — Pedagogy,Prerequisite / prior standard named,"A prior standard or explicitly named prerequisite concept is identified with enough specificity that a teacher knows what prior knowledge to check. Pass = a named standard code (e.g., '3.NF.1') or a specific skill description (e.g., 'students can solve result-unknown addition within 20'). Fail = vague reference (e.g., 'students should have some background in fractions').",,
P3,P — Pedagogy,Learning goal separates Big Idea from SWBAT,"The lesson distinguishes between an enduring understanding (Big Idea) and specific observable student behaviors (SWBAT - students will be able to""). Pass = two distinct components. Fail = one merged statement like 'students will learn about fractions'.""",,
P4a,P — Pedagogy,Anticipated challenges — minimum count,At least 3 misconceptions or anticipated challenges are named. Pass = 3 or more entries. Fail = fewer than 3.,,
P4b,P — Pedagogy,Anticipated challenges — each entry is complete,"Each challenge entry names (a) what students do, (b) why it happens, and (c) a specific teacher move. Pass = all three components present in every entry. Fail = any entry is missing a component, or teacher moves are generic ('re-teach', 'check for understanding').",,
P5,P — Pedagogy,Lesson phases present and sequenced correctly,"The lesson has a recognizable instructional arc appropriate to the domain with time allocations on each phase. Pass = all required phases present with times. Fail = phases missing, merged, or unlabeled.",,
P6a,P — Pedagogy,Look-fors — minimum count,At least 3 look-fors are named for the main practice or work phase. Pass = 3 or more entries. Fail = fewer than 3.,,
P6b,P — Pedagogy,Look-fors — each entry describes observable student behavior,"Each look-for describes a specific observable student behavior — what the teacher is watching for — explains why it matters, and gives a teacher move. Additionally, FIRST classify the anchor task yourself: does it genuinely admit multiple correct responses (e.g., several valid equations or interpretations can fit)? Only if it does, the look-fors must also include explicit guidance that multiple correct responses can match the anchor task; if the anchor has a single correct answer this requirement is waived — do NOT fail for missing multi-correct guidance. State your classification in the explanation. Fail = any look-for reads as a teacher instruction ('circulate and check for understanding') rather than an observable student behavior, or required multi-correct guidance is absent.",,
P7,P — Pedagogy,Visual scaffolds with rationale,"Visual or representational choices are pedagogically informed WITH stated rationale — e.g., a drawing-first option, an intentional choice not to pre-print a diagram, or guidance on when to introduce a visual model and why. Pass = at least one visual or representational choice with explicit reasoning. Fail = visuals appear without rationale, or no visual/representational thinking is evident in the plan.",,
P8,P — Pedagogy,Student engagement hook,"At least one task is designed to generate genuine student curiosity or interest — an unexpected or novel context, an open-ended question, a real-world scenario students would care about, or productive-struggle design. A generic word problem or comprehension task does not count; there must be a deliberate hook. Not every task needs this quality — one is sufficient.",,
P9,P — Pedagogy,Timing is realistic,"The work assigned in each phase is plausibly completable in the allotted minutes by students at this grade level. Count the tasks in each phase and estimate minutes per task. Pass = every phase's workload fits its time. Fail = any phase assigns clearly more work than its time allows (e.g., 12 problems in a 20-minute block that also includes discussion).",,
R1,R — Rigor,Grade-level demand is maintained,"No scaffolding in the lesson reduces the cognitive demand below the standard's level. Supports provide access without simplifying the task. Pass = all student work targets the standard's complexity. Fail = problems are simplified to below-grade content, or the hardest part of the standard is avoided.",,
R2,R — Rigor,At least one task demands student reasoning,"A student who only memorizes or follows steps cannot complete at least one task. Pass = one or more tasks require explanation, justification, comparison, or argumentation. Fail = every task is recall or procedural with a single right answer.",,
R3,R — Rigor,Exit ticket targets the hardest case,"The exit ticket targets the structurally hardest version of the standard — not the easiest. FIRST determine the standard's structurally hardest case yourself (e.g., start-unknown for operations word problems, counterclaim handling for argument writing, mechanism-level reasoning for explanatory models). THEN classify the exit-ticket task: quote it and state which case or demand it targets. Pass only if the two match. Show both classifications in the explanation.",,
R4,R — Rigor,Student agency prompt on worksheet,"The student-facing worksheet itself includes at least one prompt inviting student reasoning or choice: a self-assessment question, a reflection prompt, an open-ended extension, or a 'show/explain your thinking' prompt attached to a task (these count even when embedded in task items). Teacher-led discussion prompts in the lesson plan do NOT count. Judge the student materials only.",,
O2,O — Output / Formatting,Student materials contain no teacher-only content,"Student-facing materials contain no teacher-only content: no look-fors, no misconception or points-of-difficulty notes, no assessment rationale, no answer keys, no instructions directed at the teacher ('the teacher places…', 'circulate and…'), no stage directions written TO the teacher ('Show…', 'Display…', 'Read aloud…', 'Distribute…'), and no third-person narration of student activity ('Students work in pairs…', 'Students blend the sounds…'). Scaffolding addressed TO STUDENTS in second person (hints, 'Remember:' reminders, sentence frames, worked examples) is student content and is fine — do NOT fail for it. Judge the student materials only; content in the lesson plan or observation sheet is irrelevant here.",,
O3,O — Output / Formatting,Observation template rows are usable in the field,"Row labels are specific student behaviors traceable to SWBAT ('student will be able to') — not generic phase names — and each row has adequate writing space. Pass = behavior-specific labels and sufficient writing space throughout. Fail = rows labeled 'Phase 1 / Phase 2', or table is so compressed a teacher couldn't write in it.",,
O3b,O — Output / Formatting,Observation template exit ticket section is present and specific,"The observation template includes exit ticket sort buckets with explicit criteria for each bucket (e.g., what a 'got it' response looks like vs. a 'not yet' response). Pass = sort buckets present with specific distinguishing criteria. Fail = exit ticket section absent, or buckets present but unlabeled / undifferentiated.",,
O4,O — Output / Formatting,Lesson plan is concise and scannable,Teacher-facing plan uses clear headers and the instructional sequence is findable at a glance — a teacher can locate the next action within 10 seconds of scanning the page. Pass = action sequence is visually distinct from rationale. Fail = instructional steps are embedded in paragraphs of rationale so that the sequence isn't findable without reading closely.,,
O5,O — Output / Formatting,Universal Design access features,"At least two Universal Design representation features are present in the base materials, such as: sentence stems or frames, clarification of symbols and vocabulary, multiple forms of representation (visual + symbolic + verbal), a culturally open task context, or choice in how students show their work. Name the features found in the explanation.",,
O6,O — Output / Formatting,Teacher and student materials describe the same tasks,"The student materials' tasks ARE the same tasks the lesson plan describes — same contexts, same numbers and specifics, same count — and the observation sheet's look-fors are the ones the lesson plan names. Direction 1: every activity named in the plan has a corresponding student-facing version. Direction 2: nothing in the student materials is unaccounted for in the plan. List every mismatch found; pass only if BOTH directions are clean.",,
O7,O — Output / Formatting,Teacher adaptation rationale notes,"The lesson plan includes one or two brief rationale notes identifying which elements must be PRESERVED to maintain alignment and rigor (non-negotiables such as curriculum sequence, grade-level demand, discourse structure) and why. Generic praise ('this lesson is well-structured') does not count.",,
O8,O — Output / Formatting,Outputs are specific not generic,"Misconceptions, look-fors, and prerequisite references are specific to this standard's content — a reader could not transplant them unchanged to an unrelated topic. The standard text quoted in body text matches the header word-for-word wherever it appears. Fail = boilerplate misconceptions ('students may get confused'), generic look-fors, or a standard subtly reworded between header and body.",,
O9,O — Output / Formatting,Narrative coherence across artifacts,"Contexts, names, numbers, grade level, and timing references agree across all artifacts. No artifact narrates a context, example, or task that the others do not have. Judge all artifacts together.",,
O10,O — Output / Formatting,No contradictions across artifacts,"No conflicting counts, durations, units, instructions, or directions between any two artifacts. Quote any contradiction found in the explanation.",,
O11,O — Output / Formatting,Lesson plan is internally consistent,"The plan never contradicts itself about which task or case is hardest; discussion and closing phases anchor on the case the rationale identifies as most important; and any task types the prose promises (e.g., 'students will work start-unknown problems') actually exist in the materials. Fail = the plan promises content that never appears, or different sections disagree about emphasis.",,
O12,O — Output / Formatting,Closing phase introduces nothing new,"Every concept, case, or notation appearing in the synthesis/closing phase was investigated by students in an earlier phase. Nothing appears for the first time in the closing. Fail = the summary introduces a case, term, or representation students never worked with.",,
M3,M — Model Scaffolding,Follow-up options offered,"After delivering the lesson plan, the model offers at least two meaningful follow-up options (e.g., differentiation, multi-lingual learner layer, state-specific adaptation). Pass = two or more specific options. Fail = none, or options are generic ('let me know if you want changes').",,
M5,M — Model Scaffolding,No curriculum-specific terminology for non-curriculum teachers,For teachers who did not indicate they use a named curriculum (IM etc.): the lesson plan contains no proprietary terminology from a specific program. Pass = no curriculum-specific language for teachers without that curriculum signal. Fail = any curriculum-proprietary term appears in output for a teacher who didn't indicate that curriculum.,,
O13,O — Output / Formatting,Information density,"Artifacts favor structure over prose: paragraphs stay within roughly 3 sentences; parallel content (per-group supports, per-phase variants, look-fors) appears in tables or bullet lists rather than stacked multi-sentence paragraphs; bullets are one-idea fragments rather than chained clauses. Fail = any wall-of-text paragraph or parallel variants written as back-to-back prose paragraphs.",,
O14,O — Output / Formatting,Writing space matches demand,"Every student-facing prompt that demands written work (problems, exit ticket, reflection) is followed by visible blank writing space proportionate to the expected response and grade level — younger students get more room, multi-sentence answers get generous space, fill-in items get a line or two. Fail = any prompt with no adjacent writing space or space plainly too small for the expected response.",,
